Time,Open,High,Low,Close,Volume
12.01.2018 18:30:00.000 GMT+0330,1327.082,1332.362,1326.991,1331.242,7304160.118
12.01.2018 19:30:00.000 GMT+0330,1331.252,1331.742,1329.981,1330.751,5832049.847
12.01.2018 20:30:00.000 GMT+0330,1330.752,1332.012,1330.649,1331.852,3728300.095
12.01.2018 21:30:00.000 GMT+0330,1331.851,1337.952,1331.708,1337.668,5347040.176
12.01.2018 22:30:00.000 GMT+0330,1337.679,1339.301,1336.791,1337.528,4887589.932
12.01.2018 23:30:00.000 GMT+0330,1337.509,1339.292,1337.228,1338.022,4067739.964
13.01.2018 00:30:00.000 GMT+0330,1338.032,1339.022,1337.452,1337.532,3415280.104
13.01.2018 01:30:00.000 GMT+0330,1337.532,1337.532,1337.532,1337.532,0
13.01.2018 02:30:00.000 GMT+0330,1337.532,1337.532,1337.532,1337.532,0
13.01.2018 03:30:00.000 GMT+0330,1337.532,1337.532,1337.532,1337.532,0
13.01.2018 04:30:00.000 GMT+0330,1337.532,1337.532,1337.532,1337.532,0
13.01.2018 05:30:00.000 GMT+0330,1337.532,1337.532,1337.532,1337.532,0
13.01.2018 06:30:00.000 GMT+0330,1337.532,1337.532,1337.532,1337.532,0
